title_key,media_type,title,release_date,vote_average,vote_count,popularity
movie:299534,movie,Avengers: Endgame,2019-04-24,8.2,28462,68.0618
movie:278,movie,The Shawshank Redemption,1994-09-23,8.728,31151,75.3973
movie:645484,movie,Dil Bechara,2020-07-24,6.776,125,1.6974
movie:299537,movie,Captain Marvel,2019-03-06,6.772,17060,21.6647
movie:155,movie,The Dark Knight,2008-07-16,8.534,36516,57.3845
movie:464052,movie,Wonder Woman 1984,2020-12-16,6.357,9205,14.6524
movie:601807,movie,Mrs. Serial Killer,2020-05-01,6.245,94,1.6106
movie:120,movie,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.444,28208,41.9436
movie:645489,movie,Gunjan Saxena: The Kargil Girl,2020-07-23,7.283,90,1.4528
movie:603673,movie,Laxmii,2020-11-09,4.525,61,1.5489
tv:1399,tv,Game of Thrones,2011-04-17,8.5,27606,167.7655
movie:603,movie,The Matrix,1999-03-31,8.256,28572,44.7366
movie:299536,movie,Avengers: Infinity War,2018-04-25,8.242,32724,96.2859
movie:475557,movie,Joker,2019-10-01,8.117,28185,31.5016
movie:297802,movie,Aquaman,2018-12-07,6.865,15140,15.8865
movie:577922,movie,Tenet,2020-08-22,7.172,11431,19.9332
movie:27205,movie,Inception,2010-07-15,8.372,40001,53.9234
movie:238,movie,The Godfather,1972-03-14,8.686,23432,57.6482
movie:209112,movie,Batman v Superman: Dawn of Justice,2016-03-23,6.01,19275,18.8257
movie:1893,movie,Star Wars: Episode I - The Phantom Menace,1999-05-19,6.582,16129,14.2634
movie:122,movie,The Lord of the Rings: The Return of the King,2003-12-17,8.506,27189,44.7923
movie:550,movie,Fight Club,1999-10-15,8.437,32714,35.6607
movie:157336,movie,Interstellar,2014-11-05,8.486,40920,63.9078
movie:335983,movie,Venom,2018-09-28,6.824,17514,23.084
movie:1894,movie,Star Wars: Episode II - Attack of the Clones,2002-05-15,6.597,14614,11.74
movie:1895,movie,Star Wars: Episode III - Revenge of the Sith,2005-05-17,7.473,15218,13.7705
movie:2667,movie,The Blair Witch Project,1999-07-14,6.37,5607,12.8878
tv:67198,tv,Star Trek: Discovery,2017-09-24,6.935,2080,40.7808
movie:424694,movie,Bohemian Rhapsody,2018-10-24,7.952,17982,16.7675
movie:614179,movie,Coolie No. 1,2020-12-25,5.205,73,1.3273
movie:284054,movie,Black Panther,2018-02-13,7.363,23856,26.3828
movie:493922,movie,Hereditary,2018-06-07,7.294,8832,19.7506
tv:70523,tv,Dark,2017-12-01,8.427,7798,35.4251
movie:458723,movie,Us,2019-03-14,6.939,8247,12.2515
tv:87108,tv,Chernobyl,2019-05-06,8.722,8217,34.3289
tv:111188,tv,Scam 1992: The Harshad Mehta Story,2020-10-09,8.28,152,5.142
movie:290859,movie,Terminator: Dark Fate,2019-10-23,6.421,5819,19.6999
movie:530915,movie,1917,2019-12-25,7.984,13813,16.3589
movie:466272,movie,Once Upon a Time... in Hollywood,2019-07-24,7.42,15149,22.9009
movie:545609,movie,Extraction,2020-04-23,7.286,6757,11.6987
movie:680,movie,Pulp Fiction,1994-09-10,8.481,30731,38.3961
tv:1396,tv,Breaking Bad,2008-01-20,8.9,18480,138.3941
movie:447332,movie,A Quiet Place,2018-04-03,7.395,15639,16.8134
movie:14,movie,American Beauty,1999-09-15,7.998,13274,14.6081
movie:272,movie,Batman Begins,2005-06-10,7.729,23041,22.2773
movie:615,movie,The Passion of the Christ,2004-02-25,7.54,5313,18.9611
movie:74,movie,War of the Worlds,2005-06-28,6.566,9441,15.9087
movie:597,movie,Titanic,1997-12-18,7.9,27620,37.7128
movie:405774,movie,Bird Box,2018-12-13,6.823,10770,11.5845
movie:49521,movie,Man of Steel,2013-06-12,6.66,16519,23.8805
movie:604,movie,The Matrix Reloaded,2003-05-15,7.087,12232,20.9155
movie:420818,movie,The Lion King,2019-07-12,7.092,10874,16.5161
movie:399579,movie,Alita: Battle Angel,2019-01-31,7.272,10314,19.9552
movie:337401,movie,Mulan,2020-09-04,6.819,7137,12.0904
movie:332562,movie,A Star Is Born,2018-10-03,7.489,12352,10.0522
movie:496243,movie,Parasite,2019-05-30,8.491,21184,38.3233
movie:254,movie,King Kong,2005-12-12,6.9,8675,16.4517
movie:98,movie,Gladiator,2000-05-04,8.23,21362,36.5413
movie:346910,movie,The Predator,2018-09-05,5.617,5248,13.9171
movie:857,movie,Saving Private Ryan,1998-07-24,8.232,17665,27.1043
movie:121,movie,The Lord of the Rings: The Two Towers,2002-12-18,8.427,24437,33.2409
movie:181812,movie,Star Wars: The Rise of Skywalker,2019-12-18,6.3,11077,18.7118
tv:79130,tv,Another Life,2019-07-25,6.112,484,9.7554
movie:348350,movie,Solo: A Star Wars Story,2018-05-15,6.554,9444,17.4097
movie:374720,movie,Dunkirk,2017-07-19,7.45,17878,18.8696
movie:13,movie,Forrest Gump,1994-06-23,8.463,30309,35.3319
movie:335984,movie,Blade Runner 2049,2017-10-04,7.602,15559,30.6811
movie:2675,movie,Signs,2002-08-02,6.733,6494,10.1919
movie:530385,movie,Midsommar,2019-07-03,7.144,8344,22.55
tv:66732,tv,Stranger Things,2016-07-15,8.6,21730,110.3262
movie:1452,movie,Superman Returns,2006-06-28,5.822,4675,11.329
movie:824,movie,Moulin Rouge!,2001-05-18,7.5,4923,7.7503
movie:7191,movie,Cloverfield,2008-01-15,6.727,8052,12.1852
movie:297762,movie,Wonder Woman,2017-05-30,7.204,21134,16.7597
movie:142,movie,Brokeback Mountain,2005-10-22,7.784,7684,13.9228
movie:297761,movie,Suicide Squad,2016-08-03,5.917,22356,14.7868
tv:72844,tv,The Haunting of Hill House,2018-10-12,8.104,2810,16.3078
movie:24,movie,Kill Bill: Vol. 1,2003-10-10,7.971,19310,22.1335
movie:77,movie,Memento,2000-10-11,8.2,16644,21.1556
movie:141,movie,Donnie Darko,2001-01-19,7.759,13663,13.32
movie:36557,movie,Casino Royale,2006-11-14,7.576,11934,17.9344
movie:420817,movie,Aladdin,2019-05-22,7.078,10773,15.5434
