media_type,title,release_date,experience,category,experience_score,vote_average,vote_count,adjusted_rating,reception_percentile
movie,Everest,2015-09-10,Adventurous,Story / world experience,99.9,6.826,5325,6.77,71.8
movie,Journey to the Center of the Earth,1959-12-15,Adventurous,Story / world experience,99.8,6.896,525,6.64,61.3
movie,Jungle,2017-06-27,Adventurous,Story / world experience,99.7,6.705,2224,6.65,61.3
movie,The Aeronauts,2019-11-04,Adventurous,Story / world experience,99.5,6.805,1221,6.67,64.3
movie,The Edge,1997-09-06,Adventurous,Story / world experience,98.9,6.861,1353,6.71,67.2
movie,Chemical Hearts,2020-08-21,Bittersweet,Emotion,99.8,7.305,1168,6.91,79.8
movie,Life Itself,2018-09-21,Bittersweet,Emotion,99.8,7.169,644,6.76,70.7
movie,Blue Valentine,2010-12-26,Bittersweet,Emotion,99.5,6.971,3593,6.86,77.2
movie,Biutiful,2010-10-20,Bittersweet,Emotion,99.3,7.245,1239,6.9,79.0
movie,The Light Between Oceans,2016-09-02,Bittersweet,Emotion,99.2,7.063,1443,6.82,75.0
movie,Tetsuo: The Iron Man,1989-07-01,Bizarre,Tone & style,99.8,6.971,728,6.7,66.4
movie,Climax,2018-09-19,Bizarre,Tone & style,99.7,7.038,2378,6.87,77.5
movie,Swiss Army Man,2016-06-24,Bizarre,Tone & style,99.3,6.912,3890,6.82,75.1
movie,The Autopsy of Jane Doe,2016-12-21,Bizarre,Tone & style,99.3,6.843,4855,6.78,72.3
movie,Sinister,2012-10-04,Bizarre,Tone & style,99.0,6.872,6180,6.82,74.8
movie,Chemical Hearts,2020-08-21,Cathartic,After-effect,99.9,7.305,1168,6.91,79.8
movie,Stronger,2017-09-22,Cathartic,After-effect,99.9,6.964,1590,6.78,72.2
movie,Honey Boy,2019-11-07,Cathartic,After-effect,99.8,7.025,747,6.72,68.4
movie,Perfect Sense,2011-09-29,Cathartic,After-effect,99.8,6.87,1276,6.71,67.1
movie,Ordinary People,1980-09-19,Cathartic,After-effect,99.7,7.44,714,6.87,77.7
movie,The Secret: Dare to Dream,2020-04-16,Comforting,Emotion,99.8,7.336,678,6.82,75.1
movie,Perfect Sense,2011-09-29,Comforting,Emotion,99.8,6.87,1276,6.71,67.1
movie,While You Were Sleeping,1995-04-21,Comforting,Emotion,99.6,7.035,2051,6.85,76.5
movie,Mask,1985-03-08,Comforting,Emotion,99.5,7.255,505,6.75,70.1
movie,Sleepless in Seattle,1993-06-24,Comforting,Emotion,99.4,6.742,2658,6.68,64.8
movie,Knick Knack,1989-11-23,Cute,Emotion,100.0,7.001,628,6.69,66.1
movie,Enchanted,2007-11-20,Cute,Emotion,99.9,6.849,5799,6.79,73.2
movie,A Lot Like Love,2005-04-21,Cute,Emotion,99.9,6.834,1390,6.7,66.1
movie,While You Were Sleeping,1995-04-21,Cute,Emotion,99.8,7.035,2051,6.85,76.5
movie,Just Like Heaven,2005-09-16,Cute,Emotion,99.7,6.971,2629,6.83,75.8
movie,Sinister,2012-10-04,Dark,Tone & style,100.0,6.872,6180,6.82,74.8
movie,Vampyr,1932-05-06,Dark,Tone & style,99.9,7.263,605,6.78,72.1
movie,The Autopsy of Jane Doe,2016-12-21,Dark,Tone & style,99.8,6.843,4855,6.78,72.3
movie,Prince of Darkness,1987-10-23,Dark,Tone & style,99.6,6.764,1184,6.65,61.7
movie,Crimson Peak,2015-10-13,Dark,Tone & style,99.6,6.661,5329,6.64,60.6
movie,Death at a Funeral,2007-08-17,Dark humor,Tone & style,99.9,6.921,1957,6.77,71.9
movie,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,Dark humor,Tone & style,99.8,7.054,1556,6.83,75.4
movie,Four Lions,2010-05-07,Dark humor,Tone & style,99.8,6.952,1312,6.75,70.6
movie,Good Boys,2019-08-14,Dark humor,Tone & style,99.6,6.83,2056,6.72,68.3
movie,White Chicks,2004-06-23,Dark humor,Tone & style,99.5,6.961,4706,6.87,77.8
movie,American Murder: The Family Next Door,2020-09-29,Devastated,After-effect,100.0,7.25,771,6.81,74.7
movie,Eden Lake,2008-09-12,Devastated,After-effect,99.5,6.8,2164,6.71,67.0
movie,mother!,2017-09-13,Devastated,After-effect,99.1,6.95,7225,6.89,78.8
movie,The Nightingale,2018-09-23,Devastated,After-effect,99.1,7.047,688,6.72,68.3
movie,Chemical Hearts,2020-08-21,Devastated,After-effect,98.8,7.305,1168,6.91,79.8
movie,Peaceful Warrior,2006-03-30,Easy to watch,Viewing style,99.7,7.5,497,6.82,74.8
movie,The Secret: Dare to Dream,2020-04-16,Easy to watch,Viewing style,99.5,7.336,678,6.82,75.1
movie,The Kid,2000-07-07,Easy to watch,Viewing style,99.5,6.788,1164,6.66,62.8
movie,Little Boy,2015-04-23,Easy to watch,Viewing style,99.0,7.24,575,6.76,71.1
movie,My Spy,2020-01-09,Easy to watch,Viewing style,98.9,6.861,1419,6.71,67.4
movie,Tolkien,2019-05-03,Epic / grand,Story / world experience,99.6,6.9,1571,6.74,69.8
movie,Cloud Atlas,2012-10-26,Epic / grand,Story / world experience,99.5,6.895,7644,6.85,76.4
movie,Red Cliff,2008-07-10,Epic / grand,Story / world experience,99.4,7.111,906,6.78,72.3
movie,Curse of the Golden Flower,2006-12-14,Epic / grand,Story / world experience,99.4,6.867,841,6.67,64.4
movie,Gallipoli,1981-08-13,Epic / grand,Story / world experience,99.2,7.056,561,6.7,66.6
movie,Peaceful Warrior,2006-03-30,Escapist,Overall experience,100.0,7.5,497,6.82,74.8
movie,Perfect Sense,2011-09-29,Escapist,Overall experience,99.8,6.87,1276,6.71,67.1
movie,Life Itself,2018-09-21,Escapist,Overall experience,99.6,7.169,644,6.76,70.7
movie,Thelma,2017-09-15,Escapist,Overall experience,99.5,6.8,1166,6.67,63.7
movie,Paterson,2016-11-17,Escapist,Overall experience,99.4,7.118,2105,6.91,79.4
movie,Last Year at Marienbad,1961-09-29,Existential,Thinking / engagement,99.6,7.4,552,6.81,74.1
movie,Life Itself,2018-09-21,Existential,Thinking / engagement,99.6,7.169,644,6.76,70.7
movie,Perfect Sense,2011-09-29,Existential,Thinking / engagement,99.6,6.87,1276,6.71,67.1
movie,The Platform,2019-11-08,Existential,Thinking / engagement,99.5,6.965,7970,6.91,79.6
movie,Biutiful,2010-10-20,Existential,Thinking / engagement,99.3,7.245,1239,6.9,79.0
movie,Last Year at Marienbad,1961-09-29,Familiar,Connection,99.9,7.4,552,6.81,74.1
movie,Zelig,1983-07-15,Familiar,Connection,99.8,7.423,934,6.92,80.0
movie,Paterson,2016-11-17,Familiar,Connection,99.8,7.118,2105,6.91,79.4
movie,At Eternity's Gate,2018-11-15,Familiar,Connection,99.8,6.988,1600,6.79,73.1
movie,Perfect Sense,2011-09-29,Familiar,Connection,99.7,6.87,1276,6.71,67.1
movie,21 Bridges,2019-10-24,Fast-paced,Viewing style,99.9,6.773,2207,6.69,65.7
movie,Ronin,1998-09-25,Fast-paced,Viewing style,99.8,6.966,2750,6.83,75.8
movie,Timecrimes,2007-11-01,Fast-paced,Viewing style,99.8,7.017,1510,6.8,73.8
movie,The Negotiator,1998-07-29,Fast-paced,Viewing style,99.7,7.112,2456,6.92,80.0
movie,Non-Stop,2014-02-26,Fast-paced,Viewing style,99.7,6.81,5844,6.76,71.1
movie,Suffragette,2015-10-16,Feminist,Themes / lens,100.0,7.186,1685,6.91,79.8
movie,On the Basis of Sex,2018-12-25,Feminist,Themes / lens,99.9,7.322,1148,6.92,79.9
movie,Wadjda,2012-12-06,Feminist,Themes / lens,99.7,7.22,528,6.74,69.9
movie,Bombshell,2019-12-13,Feminist,Themes / lens,99.6,6.766,3259,6.7,66.8
movie,Transamerica,2005-02-14,Feminist,Themes / lens,99.6,7.004,534,6.68,65.0
movie,Life Itself,2018-09-21,Fulfilled,After-effect,99.8,7.169,644,6.76,70.7
movie,Before We Go,2014-09-04,Fulfilled,After-effect,99.6,6.742,1915,6.66,63.2
movie,Chemical Hearts,2020-08-21,Fulfilled,After-effect,99.5,7.305,1168,6.91,79.8
movie,If Only,2004-01-23,Fulfilled,After-effect,99.5,7.035,668,6.71,67.7
movie,The Half of It,2020-05-01,Fulfilled,After-effect,99.3,7.086,1619,6.85,76.5
movie,Life Itself,2018-09-21,Full of life,Overall experience,99.7,7.169,644,6.76,70.7
movie,Peaceful Warrior,2006-03-30,Full of life,Overall experience,99.2,7.5,497,6.82,74.8
movie,I Can Only Imagine,2018-02-14,Full of life,Overall experience,98.9,7.5,511,6.82,75.0
movie,Soul Surfer,2011-04-08,Full of life,Overall experience,98.5,7.02,1270,6.78,72.4
movie,Pather Panchali,1955-08-26,Full of life,Overall experience,98.4,7.8,504,6.91,79.5
movie,Jumanji: Welcome to the Jungle,2017-12-09,Fun,Overall experience,99.9,6.822,14744,6.8,73.6
movie,Game Night,2018-02-15,Fun,Overall experience,99.9,6.847,6430,6.8,73.5
movie,Galaxy Quest,1999-12-25,Fun,Overall experience,99.8,7.093,2609,6.92,79.8
movie,My Spy,2020-01-09,Fun,Overall experience,99.8,6.861,1419,6.71,67.4
movie,Tag,2018-05-30,Fun,Overall experience,99.6,6.709,3525,6.66,63.6
movie,Jexi,2019-10-10,Funny,Tone & style,99.9,6.749,1314,6.65,61.5
movie,Dumb and Dumber,1994-12-16,Funny,Tone & style,99.9,6.661,6877,6.64,61.0
movie,Good Boys,2019-08-14,Funny,Tone & style,99.8,6.83,2056,6.72,68.3
movie,Best in Show,2000-09-29,Funny,Tone & style,99.8,6.885,694,6.66,63.4
movie,Game Night,2018-02-15,Funny,Tone & style,99.7,6.847,6430,6.8,73.5
movie,Eden Lake,2008-09-12,Gruesome,Tone & style,99.8,6.8,2164,6.71,67.0
movie,Brimstone,2016-03-12,Gruesome,Tone & style,99.6,7.149,1296,6.85,76.7
movie,The Nightingale,2018-09-23,Gruesome,Tone & style,99.6,7.047,688,6.72,68.3
movie,American Murder: The Family Next Door,2020-09-29,Gruesome,Tone & style,99.5,7.25,771,6.81,74.7
movie,An American Crime,2007-07-27,Gruesome,Tone & style,99.3,7.305,786,6.84,76.0
movie,Cool Runnings,1993-10-01,Happy,Emotion,99.8,7.025,2342,6.86,77.0
movie,The Secret: Dare to Dream,2020-04-16,Happy,Emotion,99.7,7.336,678,6.82,75.1
movie,Knick Knack,1989-11-23,Happy,Emotion,99.5,7.001,628,6.69,66.1
movie,Dumplin',2018-12-20,Happy,Emotion,99.5,6.762,1453,6.66,62.8
movie,Perfect Sense,2011-09-29,Happy,Emotion,99.4,6.87,1276,6.71,67.1
movie,The Autopsy of Jane Doe,2016-12-21,Haunting,Overall experience,100.0,6.843,4855,6.78,72.3
movie,The Haunting,1963-03-28,Haunting,Overall experience,100.0,7.1,733,6.75,70.3
movie,The Changeling,1980-03-28,Haunting,Overall experience,100.0,6.984,745,6.71,67.1
movie,A Tale of Two Sisters,2003-06-13,Haunting,Overall experience,99.9,7.107,1381,6.84,76.1
movie,Sinister,2012-10-04,Haunting,Overall experience,99.9,6.872,6180,6.82,74.8
movie,Stronger,2017-09-22,Heart-wrenching,Emotion,99.9,6.964,1590,6.78,72.2
movie,Once Were Warriors,1994-09-02,Heart-wrenching,Emotion,99.9,7.379,507,6.78,72.5
movie,The Nightingale,2018-09-23,Heart-wrenching,Emotion,99.8,7.047,688,6.72,68.3
movie,Chemical Hearts,2020-08-21,Heart-wrenching,Emotion,99.7,7.305,1168,6.91,79.8
movie,Life Itself,2018-09-21,Heart-wrenching,Emotion,99.7,7.169,644,6.76,70.7
movie,Fyre,2019-01-18,High-stakes,Story / world experience,99.9,6.936,1030,6.72,68.1
movie,Deepwater Horizon,2016-09-28,High-stakes,Story / world experience,99.8,6.903,5012,6.83,75.7
movie,The Report,2019-09-12,High-stakes,Story / world experience,99.8,7.035,1184,6.78,72.3
movie,United 93,2006-04-28,High-stakes,Story / world experience,99.7,7.12,1666,6.87,77.8
movie,Margin Call,2011-09-28,High-stakes,Story / world experience,99.7,6.857,2152,6.74,69.8
movie,Peaceful Warrior,2006-03-30,Hopeful,Emotion,99.8,7.5,497,6.82,74.8
movie,The Secret: Dare to Dream,2020-04-16,Hopeful,Emotion,99.6,7.336,678,6.82,75.1
movie,Perfect Sense,2011-09-29,Hopeful,Emotion,99.5,6.87,1276,6.71,67.1
movie,Little Boy,2015-04-23,Hopeful,Emotion,99.4,7.24,575,6.76,71.1
movie,Chemical Hearts,2020-08-21,Hopeful,Emotion,99.2,7.305,1168,6.91,79.8
movie,Three Identical Strangers,2018-06-29,Human / humanistic,Connection,99.7,7.298,836,6.85,76.4
movie,Life Itself,2018-09-21,Human / humanistic,Connection,99.7,7.169,644,6.76,70.7
movie,The Platform,2019-11-08,Human / humanistic,Connection,99.6,6.965,7970,6.91,79.6
movie,The Square,2017-08-25,Human / humanistic,Connection,99.6,6.746,1774,6.66,63.0
movie,Nymphomaniac: Vol. I,2013-12-25,Human / humanistic,Connection,99.3,6.852,3738,6.77,71.9
movie,Life Itself,2018-09-21,Immersive,Overall experience,99.6,7.169,644,6.76,70.7
movie,Cloud Atlas,2012-10-26,Immersive,Overall experience,99.2,6.895,7644,6.85,76.4
movie,The City of Lost Children,1995-05-17,Immersive,Overall experience,99.1,7.248,1250,6.9,79.1
movie,The Professor and the Madman,2019-03-07,Immersive,Overall experience,98.9,7.116,1305,6.84,76.0
movie,The Fountain,2006-11-22,Immersive,Overall experience,98.9,6.903,3191,6.8,73.7
movie,Peaceful Warrior,2006-03-30,Inspired / motivated,After-effect,99.8,7.5,497,6.82,74.8
movie,Rudy,1993-09-17,Inspired / motivated,After-effect,99.7,7.343,778,6.85,76.6
movie,Wild,2014-12-05,Inspired / motivated,After-effect,99.6,7.008,2719,6.86,77.3
movie,I Can Only Imagine,2018-02-14,Inspired / motivated,After-effect,99.2,7.5,511,6.82,75.0
movie,Soul Surfer,2011-04-08,Inspired / motivated,After-effect,99.2,7.02,1270,6.78,72.4
movie,The Piano Teacher,2001-09-05,Intense,Overall experience,99.8,7.259,1326,6.91,79.8
movie,Waves,2019-11-15,Intense,Overall experience,99.7,7.4,833,6.89,78.7
movie,Climax,2018-09-19,Intense,Overall experience,99.7,7.038,2378,6.87,77.5
movie,Shine,1996-08-15,Intense,Overall experience,99.7,7.369,722,6.85,76.4
movie,Perfect Sense,2011-09-29,Intense,Overall experience,99.7,6.87,1276,6.71,67.1
movie,Peaceful Warrior,2006-03-30,Life-affirming,Overall experience,99.9,7.5,497,6.82,74.8
